業績

コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2025/03,302681000000,11079000000,10857000000,6740000000,567.46,10.13,3.7
130A,2024/12,194643000,-212851000,-233562000,-236442000,-37.11,-,-
1332,2025/03,886126000000,31779000000,35301000000,25381000000,81.66,9.16,4
1333,2025/03,1078631000000,30381000000,32254000000,23264000000,461.88,10.13,3.42
135A,2025/02,2144000000,594000000,595000000,425000000,42.04,29.89,22.69
1375,2025/03,53139000000,2419000000,-,1502000000,37.65,12.15,3.97
1376,2024/05,61598847000,1478908000,1570474000,1177699000,103.28,4.82,2.42
1377,2024/05,88677000000,10495000000,11124000000,16162000000,365.21,10.1,8.39
1379,2025/03,83104000000,6628000000,6953000000,4441000000,140.62,7.82,4.13
137A,2024/05,1027747000,215045000,203233000,149975000,53.43,22.63,18.93
1380,2025/03,7957000000,-3000000,51000000,28185000,6.76,1.29,0.4
1381,2024/06,25836000000,1570000000,1780000000,1239000000,220.63,5.98,5.07
1382,2024/06,2519019000,32703000,38094000,20012000,26.27,2.6,1.78
1383,2024/10,7094887000,22459000,-16125000,39936000,25,1.93,0.7
1384,2025/03,19397000000,1925000000,2001000000,2181000000,257.83,15.41,11.35
138A,2024/11,2566848000,217082000,191253000,100327000,109.64,8.04,4.17
1400,2023/12,2659008000,-8765000,38731000,107199000,8.24,4.26,3.37
1401,2024/05,4356628000,495022000,527537000,403885000,54.05,11.63,9.16
1407,2024/08,50390000000,10597000000,9956000000,6757000000,167.43,20.33,5.37
1414,2024/06,85419000000,19666000000,20436000000,14321000000,273.72,13.89,11
1417,2025/03,578599000000,27985000000,27470000000,17179000000,189.4,6.57,3.19
1418,2025/02,16940000000,875000000,875000000,705077000,45.43,16.73,7.47
1419,2024/05,247733000000,12586000000,12877000000,8752000000,301.91,22.85,9.77
141A,2024/06,717948000000,19161000000,19789000000,11439000000,109.76,9.89,4.03
1420,2025/03,45518000000,956000000,1167000000,673000000,60.2,4.39,1.33
1429,2024/12,30265345000,2575689000,2604134000,1839630000,58.56,17.44,7.64
142A,2025/03,2400000000,62000000,58000000,-184000000,-63.54,-,-
1430,2024/05,28485091000,1453677000,1422240000,944916000,79.15,11.16,3.98
1431,2024/06,15435172000,495802000,598350000,387574000,17.22,8.48,3.3
1433,2025/01,10897474000,373633000,592069000,409806000,46.25,8.46,3.71
1434,2024/08,14804607000,1143651000,1213276000,1012359000,146.74,15.26,5.71
1435,2024/12,13157735000,1043974000,1018066000,912829000,10.16,9.81,6.9
1436,2025/04,11616000000,543000000,408000000,275507000,67.23,5.2,2.03
1438,2024/09,5198677000,447218000,455947000,340464000,105.84,8.91,6.43
1439,2024/12,8082000000,340000000,327000000,202000000,146.51,8.03,3.67
143A,2025/03,1393000000,245000000,232000000,177571000,92.89,14.78,8.07
1443,2025/03,4906000000,623000000,770000000,491949000,30.3,4.51,3.04
1444,2024/07,4678961000,56392000,63465000,25154000,23.12,1.68,0.91
1446,2024/09,13224257000,359202000,350393000,137956000,14.96,4.93,2.25
1447,2025/03,28855000000,333000000,142000000,-129176000,-5.28,-,-
1449,2024/12,1113684000,-64477000,-61916000,-7896000,-3.71,-,-
1450,2025/03,12286000000,2328000000,2341000000,1576000000,181.17,19.17,13.85
1451,2024/03,10062575000,574626000,532281000,355661000,89.17,5.56,2.37
145A,2024/12,1594038000,47256000,18653000,13054000,2.67,0.76,0.48
146A,2024/12,20981000000,3892000000,3519000000,2238000000,691.9,18.5,4.29
147A,2025/03,8993000000,656000000,619000000,352000000,7.82,3.5,2.63
148A,2024/12,2367523000,183252000,155063000,130952000,72.7,16.85,5.39
1491,2025/03,162345000000,1417000000,1238000000,1218720000,4.23,14.89,7.38
149A,2024/12,1232218000,78065000,48758000,16073000,5.27,1.64,1.31
150A,2025/03,3967000000,176000000,185000000,144000000,25.64,7.06,4.83
1514,2025/03,10264000000,48000000,4711000000,4195000000,76.76,14.97,14.44
1515,2025/03,196766000000,10257000000,11437000000,9019000000,546.7,6.37,3.76
1518,2025/03,60574000000,7615000000,8448000000,8645000000,750.07,13.23,7.35
151A,2024/06,12363389000,542316000,546588000,320998000,42.86,16.94,7.44
153A,2024/12,1225271000,412666000,388328000,276298000,44.6,21,13.65
155A,2024/12,5847966000,413118000,396660000,273173000,27.73,15.59,9.7
156A,2024/08,5281603000,810000000,763988000,709632000,73.1,35.06,21.77
157A,2024/06,1957473000,231029000,231039000,156190000,59.33,10.61,8.44
1605,2024/12,2265837000000,1271789000000,-,427344000000,345.31,8.86,5.79
160A,2025/03,17917000000,1305000000,1350000000,956000000,269.56,22.96,4.47
165A,2025/03,11424106000,2070093000,2069728000,1485925000,14.4,22.46,13.84
1662,2025/03,389082000000,62012000000,64221000000,81153000000,314.91,15.38,11.91
1663,2024/12,92421000000,8820000000,9830000000,6167000000,231.37,6.4,5.16
166A,2024/09,47455431000,4065284000,3560423000,2217276000,53.39,10.41,3.73
167A,2025/03,359811000000,8542000000,7133000000,9387000000,234.36,7.14,4.07
168A,2025/01,3605561000,271569000,244397000,165042000,118.47,13.7,4.53
1711,2025/03,4035000000,-14000000,-97000000,-151714000,-15.28,-,-
1712,2025/02,19944000000,2253000000,2256000000,1234000000,73.51,7.05,4.25
1716,2024/06,20918336000,2455559000,2829176000,1973240000,174.38,10.86,9.03
1717,2025/03,5716000000,1226000000,1230000000,910000000,78.11,16.32,11.34
1718,2024/12,27292198000,1134578000,1155032000,658231000,602.24,4.18,2.02
1719,2025/03,425160000000,35243000000,34053000000,26444000000,168.75,15.45,7.11
1720,2025/03,293139000000,8839000000,9701000000,6631000000,62.72,6.52,2.42
1721,2025/03,614631000000,45998000000,46650000000,30076000000,253.54,8.04,5.57
1723,2025/03,43061000000,9120000000,9307000000,6414000000,402.81,16.24,12.13
1724,2024/12,11711000000,653000000,741000000,547000000,117.64,8.9,4.82
1726,2025/03,40770000000,1953000000,1880000000,1268000000,28.27,8.47,3.02
1730,2024/03,3139575000,-182847000,-174985000,-386169000,-113.12,-,-
1734,2023/03,13301801000,-2059254000,-2064358000,-2880902000,-4568.11,-,-
1736,2025/03,31424000000,4024000000,4222000000,2874139000,186.1,12.84,8.29
1738,2025/03,10328000000,278000000,305000000,402463000,99.3,8.67,5.4
1739,2023/06,35745038000,1989264000,1786179000,1103989000,181.39,12.94,3.8
173A,2025/03,4707000000,791000000,828000000,618000000,146.98,22.67,10.07
1743,2024/09,12061118000,530694000,552348000,593036000,260.75,6.62,3.96
1757,2024/03,1580420000,-1491561000,-1514255000,-1509864000,-5.68,-,-
1758,2025/01,13482097000,170132000,244689000,229764000,115.51,2.6,1.99
175A,2024/12,512785000,-227975000,-223018000,-223962000,-154.68,-,-
1762,2025/03,346685000000,11460000000,10619000000,6452000000,185.3,4.69,2.39
1764,2024/06,20510369000,427033000,397742000,175216000,140.62,3.63,1.13
1766,2025/04,366640000000,22258000000,22752000000,15778000000,1173.63,11.8,6.9
1768,2025/03,15196000000,658000000,737000000,500000000,68.44,5.3,3.88
176A,2024/06,38709151000,2793984000,2769468000,1986995000,108.85,23.93,11.34
1770,2025/03,32646000000,2951000000,3123000000,1787461000,194.98,9.42,5.9
1771,2024/09,17545856000,873436000,928479000,688502000,138.89,7.55,4.94
1775,2024/03,103649000000,7879000000,8129000000,5413000000,601.93,13.04,6.68
1776,2025/03,30157000000,224000000,270000000,167000000,18.17,1.23,0.68
1777,2025/03,29159000000,2713000000,2733000000,1958000000,163.66,14.68,8.07
177A,2025/03,5206000000,991000000,1065000000,794759000,157.56,13.75,8.77
1780,2025/03,35613000000,3891000000,3968000000,3002357000,158.63,12.9,9.74
1783,2024/09,8806039000,701995000,664308000,290559000,1.71,4.39,2.04
1786,2025/03,64553000000,5434000000,5556000000,3715000000,28.07,7.25,4.79
1787,2025/03,14725000000,1457000000,1502000000,1047000000,425.45,11.99,8.62
1788,2024/06,7400143000,199295000,208252000,132314000,214.43,4.17,2.93
1789,2023/09,8074215000,281345000,312959000,76035000,11.94,2.81,1.14
1793,2025/03,70092000000,1814000000,2110000000,1788000000,63.45,2.76,1.98
1795,2024/09,8947614000,407517000,421161000,277432000,313.54,5.62,3.31
1798,2025/03,50266000000,2293000000,2373000000,1651794000,759.01,10.36,4.84
1799,2025/03,58005000000,7193000000,7604000000,5242000000,277.96,7.32,6.24
1801,2025/03,2154223000000,120160000000,134505000000,123824000000,682.78,14.3,5.1
1802,2025/03,2620101000000,143442000000,153383000000,146052000000,203.88,12.61,4.8
1803,2025/03,1944360000000,71030000000,71664000000,66015000000,94.8,7.68,2.62
1805,2024/03,132049000000,5252000000,4775000000,3403000000,177.82,6.98,2.26
1807,2025/03,40422000000,1177000000,1328000000,891639000,143.21,4.18,2.52
1808,2025/03,1177353000000,84701000000,83408000000,34450000000,126.2,6.48,2.52
1810,2025/03,99253000000,3382000000,3843000000,2726000000,94.3,5.39,3.37
