コード,企業名,市場区分,年度,売上高（億円）,営業利益（億円）,経常利益（億円）,純利益（億円）,EPS,ROE,ROA
7203,トヨタ自動車,プライム（内国株式）,2025/03,480367,47956,,47651,359.56,13.26,5.09
7267,本田技研工業,プライム（内国株式）,2025/03,216888,12135,,8358,178.93,6.78,2.72
8058,三菱商事,プライム（内国株式）,2025/03,186176,3711,,9507,236.97,10.15,4.42
8031,三井物産,プライム（内国株式）,2025/03,146626,4007,,9003,306.73,11.93,5.36
8001,伊藤忠商事,プライム（内国株式）,2024/03,140299,7029,,8018,553.0,14.77,5.53
9432,日本電信電話,プライム（内国株式）,2025/03,137047,16496,,10000,11.96,9.78,3.33
8306,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,2025/03,136300,,26695,18629,160.02,9.08,0.45
6758,ソニーグループ,プライム（内国株式）,2025/03,129571,14072,,11416,188.71,13.96,3.23
7201,日産自動車,プライム（内国株式）,2025/03,126332,698,2102,-6709,-187.08,,
5020,ＥＮＥＯＳホールディングス,プライム（内国株式）,2025/03,123225,1061,,2261,79.96,7.29,2.57
3382,セブン＆アイ・ホールディングス,プライム（内国株式）,2025/02,119728,4210,3746,1731,66.62,3.45,1.52
6178,日本郵政,プライム（内国株式）,2025/03,114684,,8146,3706,119.3,4.08,0.12
8015,豊田通商,プライム（内国株式）,2025/03,103096,4972,,3625,343.4,13.81,5.14
8316,三井住友フィナンシャルグループ,プライム（内国株式）,2025/03,101749,,17195,11780,301.55,8.01,0.38
8267,イオン,プライム（内国株式）,2025/02,101349,2377,2242,288,33.58,2.74,0.21
8750,第一生命ホールディングス,プライム（内国株式）,2025/03,98733,,7191,4296,115.95,12.38,0.62
6501,日立製作所,プライム（内国株式）,2025/03,97834,9716,,6157,133.85,10.53,4.63
5019,出光興産,プライム（内国株式）,2025/03,91902,1622,2148,1041,77.83,6.05,2.18
8411,みずほフィナンシャルグループ,プライム（内国株式）,2025/03,90304,,11681,8854,350.21,8.48,0.31
5401,日本製鉄,プライム（内国株式）,2025/03,86955,5480,,3502,350.92,6.51,3.2
6752,パナソニック　ホールディングス,プライム（内国株式）,2025/03,84582,4265,,3662,156.87,7.8,3.92
8002,丸紅,プライム（内国株式）,2025/03,77902,2723,,5030,302.78,13.86,5.47
8053,住友商事,プライム（内国株式）,2025/03,72921,4050,,5619,463.96,12.09,4.83
9984,ソフトバンクグループ,プライム（内国株式）,2025/03,72438,7298,,11533,793.77,9.98,2.56
6902,デンソー,プライム（内国株式）,2025/03,71618,5190,,4191,145.02,8.42,5.16
9501,東京電力ホールディングス,プライム（内国株式）,2025/03,68104,2345,2544,1613,100.67,4.29,1.08
9434,ソフトバンク,プライム（内国株式）,2025/03,65443,9890,,5261,11.12,19.18,3.27
7181,かんぽ生命保険,プライム（内国株式）,2025/03,61653,,1703,1235,322.57,3.81,0.21
9433,ＫＤＤＩ,プライム（内国株式）,2025/03,59180,11187,,6857,169.33,13.37,4.06
7269,スズキ,プライム（内国株式）,2025/03,58252,6429,,4160,215.66,14.01,6.94
6503,三菱電機,プライム（内国株式）,2025/03,55217,3918,,3241,155.7,8.21,5.08
1925,大和ハウス工業,プライム（内国株式）,2025/03,54348,5463,5160,3251,514.0,12.43,4.61
8766,東京海上ホールディングス,プライム（内国株式）,2025/03,53052,,14600,10553,542.16,20.79,3.38
8630,ＳＯＭＰＯホールディングス,プライム（内国株式）,2025/03,52862,,5529,2431,250.91,4.43,1.53
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム（内国株式）,2025/03,52830,,9290,6917,445.53,17.29,2.64
7011,三菱重工業,プライム（内国株式）,2025/03,50272,3143,,2454,73.04,10.46,3.69
7261,マツダ,プライム（内国株式）,2025/03,50189,1861,1890,1141,181.0,6.37,2.79
7259,アイシン,プライム（内国株式）,2025/03,48961,2029,,1076,137.81,5.44,2.51
5411,ＪＦＥホールディングス,プライム（内国株式）,2025/03,48596,1651,,919,144.43,3.63,1.63
6367,ダイキン工業,プライム（内国株式）,2025/03,47523,4017,3664,2648,904.27,9.45,5.16
8604,野村ホールディングス,プライム（内国株式）,2025/03,47367,,,3407,115.3,9.82,0.6
7270,ＳＵＢＡＲＵ,プライム（内国株式）,2025/03,46858,4053,,3381,458.03,12.45,6.64
5802,住友電気工業,プライム（内国株式）,2025/03,46798,3207,3095,1938,248.47,8.46,4.36
9613,ＮＴＴデータグループ,プライム（内国株式）,2025/03,46387,3239,,1425,101.6,7.78,1.83
4502,武田薬品工業,プライム（内国株式）,2025/03,45816,3426,,1079,68.36,1.56,0.76
7751,キヤノン,プライム（内国株式）,2024/12,45098,2798,,1600,165.53,4.73,2.78
5108,ブリヂストン,プライム（内国株式）,2024/12,44301,4433,,2850,416.19,7.64,4.98
4188,三菱ケミカルグループ,プライム（内国株式）,2025/03,44074,1967,,450,31.64,2.59,0.76
9503,関西電力,プライム（内国株式）,2025/03,43371,4689,5317,4204,436.09,13.71,4.35
6301,小松製作所,プライム（内国株式）,2025/03,41044,6571,,4396,473.82,13.85,7.61
6201,豊田自動織機,プライム（内国株式）,2025/03,40850,2217,,2623,856.96,5.35,2.79
1928,積水ハウス,プライム（内国株式）,2025/01,40586,3314,3016,2177,335.95,11.09,4.53
7459,メディパルホールディングス,プライム（内国株式）,2025/03,36713,556,653,403,193.19,6.5,2.21
9502,中部電力,プライム（内国株式）,2025/03,36692,2420,2764,2021,267.4,7.25,2.84
6098,リクルートホールディングス,プライム（内国株式）,2025/03,35575,4905,,4085,271.44,25.25,14.74
6702,富士通,プライム（内国株式）,2025/03,35501,2651,,2198,120.93,12.63,6.28
6701,日本電気,プライム（内国株式）,2025/03,34234,2565,,1752,131.5,8.97,4.06
7202,いすゞ自動車,プライム（内国株式）,2025/03,32356,2295,2482,1401,190.78,8.39,4.24
4901,富士フイルムホールディングス,プライム（内国株式）,2025/03,31958,3302,,2610,216.86,7.79,4.97
2914,日本たばこ産業,プライム（内国株式）,2024/12,31498,3235,,1792,100.95,4.76,2.14
9983,ファーストリテイリング,プライム（内国株式）,2024/08,31038,5009,,3720,1212.88,18.45,10.37
3407,旭化成,プライム（内国株式）,2025/03,30373,2119,1935,1350,97.94,7.26,3.36
6326,クボタ,プライム（内国株式）,2024/12,30163,3156,,2304,197.61,9.3,3.83
