業種,企業名,コード,売上高Tier,IT投資Tier,売上高（億円）,IT投資規模（億円）,IT投資比率
サービス,日本郵政,6178,Tier1,Tier1,"114,684"," 2,122",0.0185
サービス,日本郵便,,Tier1,Tier1," 50,000",   925,0.0185
サービス,リクルートホールディングス,6098,Tier1,Tier1," 35,575",   658,0.0185
サービス,三井不動産,8801,Tier1,Tier1," 26,254",   486,0.0185
サービス,楽天グループ,4755,Tier1,Tier1," 22,792",   422,0.0185
サービス,三菱地所,8802,Tier1,Tier2," 15,798",   292,0.0185
サービス,パーソルホールディングス,2181,Tier1,Tier2," 14,512",   268,0.0185
サービス,飯田グループホールディングス,3291,Tier1,Tier2," 14,392",   266,0.0185
サービス,電通グループ,4324,Tier1,Tier2," 14,110",   261,0.0185
サービス,オープンハウスグループ,3288,Tier1,Tier2," 12,959",   240,0.0185
サービス,セコム,9735,Tier1,Tier2," 11,999",   222,0.0185
サービス,東急不動産ホールディングス,3289,Tier1,Tier2," 11,503",   213,0.0185
サービス,住友不動産,8830,Tier1,Tier2," 10,142",   188,0.0185
サービス,博報堂ＤＹホールディングス,2433,Tier2,Tier2,"  9,533",   176,0.0185
サービス,サイバーエージェント,4751,Tier2,Tier2,"  8,012",   148,0.0185
サービス,野村不動産ホールディングス,3231,Tier2,Tier2,"  7,576",   140,0.0185
サービス,オリエンタルランド,4661,Tier2,Tier2,"  6,794",   126,0.0185
サービス,ヒューリック,3003,Tier2,Tier2,"  5,916",   109,0.0185
サービス,綜合警備保障,2331,Tier2,Tier2,"  5,519",   102,0.0185
一次・二次産業,東レ,3402,Tier1,Tier2," 25,633",   244,0.0095
一次・二次産業,ＩＮＰＥＸ,1605,Tier1,Tier2," 22,658",   215,0.0095
一次・二次産業,マルハニチロ,1333,Tier1,Tier2," 10,786",   102,0.0095
化学,ブリヂストン,5108,Tier1,Tier1," 44,301",   421,0.0095
化学,三菱ケミカルグループ,4188,Tier1,Tier1," 44,074",   419,0.0095
化学,富士フイルムホールディングス,4901,Tier1,Tier1," 31,958",   304,0.0095
化学,旭化成,3407,Tier1,Tier2," 30,373",   289,0.0095
化学,信越化学工業,4063,Tier1,Tier2," 25,612",   243,0.0095
化学,住友化学,4005,Tier1,Tier2," 24,469",   232,0.0095
化学,王子ホールディングス,3861,Tier1,Tier2," 18,493",   176,0.0095
化学,三井化学,4183,Tier1,Tier2," 17,497",   166,0.0095
化学,日本ペイントホールディングス,4612,Tier1,Tier2," 16,387",   156,0.0095
化学,花王,4452,Tier1,Tier2," 16,284",   155,0.0095
化学,レゾナック・ホールディングス,4004,Tier1,Tier2," 13,915",   132,0.0095
化学,日本酸素ホールディングス,4091,Tier1,Tier2," 13,080",   124,0.0095
化学,積水化学工業,4204,Tier1,Tier2," 12,978",   123,0.0095
